Marca de Tiempo, Uso de Memoria (%)
13: 47: 14,85.2
13: 47: 15,85.8
13: 47: 16,86.4
13: 47: 17,87.3
13: 47: 18,87.6
13: 47: 19,87.7
13: 47: 20,87.6
13: 47: 21,87.5
13: 47: 22,87.6
13: 47: 23,87.0
13: 47: 24,87.0
13: 47: 25,87.2
13: 47: 26,86.9
13: 47: 27,86.9
13: 47: 28,86.9
13: 47: 29,87.0
13: 47: 30,86.9
13: 47: 31,86.4
13: 47: 32,86.2
13: 47: 33,86.2
13: 47: 34,86.1
13: 47: 35,86.2
13: 47: 36,86.1
13: 47: 37,86.1
13: 47: 38,86.1
13: 47: 39,86.2
13: 47: 40,86.2
13: 47: 41,86.3
13: 47: 42,86.4
13: 47: 43,86.3
13: 47: 44,86.3
13: 47: 45,86.3
13: 47: 46,86.3
13: 47: 47,86.1
13: 47: 48,86.1
13: 47: 49,86.2
13: 47: 50,86.2
13: 47: 51,86.2
13: 47: 52,86.0
13: 47: 53,86.2
13: 47: 54,86.2
13: 47: 55,86.2
13: 47: 56,86.2
13: 47: 57,86.0
13: 47: 58,86.1
13: 47: 59,86.0
13: 48: 00,86.1
13: 48: 01,86.2
13: 48: 02,86.3
13: 48: 03,86.2
13: 48: 04,86.2
13: 48: 05,86.1
13: 48: 06,86.1
13: 48: 07,86.1
13: 48: 08,86.0
13: 48: 09,86.0
13: 48: 10,86.0
13: 48: 11,86.0
13: 48: 12,86.1
13: 48: 13,86.2
13: 48: 14,86.1
13: 48: 15,86.1
13: 48: 16,86.2
13: 48: 17,86.2
13: 48: 18,86.3
13: 48: 19,86.2
13: 48: 20,86.2
13: 48: 21,86.2
13: 48: 24,86.3
13: 48: 25,86.0
13: 48: 26,86.0
13: 48: 27,85.9
13: 48: 28,85.9
13: 48: 30,86.0
13: 48: 31,86.0
13: 48: 32,86.1
13: 48: 33,86.0
13: 48: 34,86.0
13: 48: 35,86.0
13: 48: 36,85.8
13: 48: 37,85.9
13: 48: 38,85.9
13: 48: 39,85.9
13: 48: 40,86.1
13: 48: 41,86.3
13: 48: 42,86.4
13: 48: 43,86.4
13: 48: 44,86.4
13: 48: 45,86.4
13: 48: 46,86.2
13: 48: 47,86.2
13: 48: 48,86.2
13: 48: 49,86.2
13: 48: 50,86.2
13: 48: 51,86.2
13: 48: 52,86.1
13: 48: 53,86.1
13: 48: 54,86.2
13: 48: 55,86.2
13: 48: 56,86.2
13: 48: 57,86.2
13: 48: 58,86.2
13: 48: 59,86.3
13: 49: 00,86.4
13: 49: 01,87.2
13: 49: 02,86.9
13: 49: 03,86.9
13: 49: 04,86.9
13: 49: 05,86.9
13: 49: 06,87.0
13: 49: 07,86.6
13: 49: 08,86.5
13: 49: 09,86.4
13: 49: 10,86.5
13: 49: 11,86.4
13: 49: 12,86.4
13: 49: 13,86.3
13: 49: 14,86.2
13: 49: 15,86.2
13: 49: 16,86.2
13: 49: 17,86.3
13: 49: 18,86.2
13: 49: 19,86.1
